"","Group.1","ID.","Balance","Qual_miles","Bonus_miles","Bonus_trans","Flight_miles_12mo","Flight_trans_12","Days_since_enroll","Award.","cc1_miles","cc2_miles","cc3_miles"
"1",1,2225.31922837586,49055.9234598631,152.078406969508,3740.66894835096,6.58991910392035,449.805849408836,1.35407591785937,3734.89234598631,0.238332296204107,1,1,1
"2",2,1862.47142857143,85906.1547619048,90.3214285714286,19830.3880952381,16.3833333333333,315.72619047619,0.871428571428571,4403.8880952381,0.476190476190476,4,1,1
"3",3,1677.45207253886,118905.844559585,143.073834196891,43995.689119171,19.2512953367876,549.25518134715,1.67746113989637,4733.2085492228,0.58419689119171,3,1,1
