"","Group.1","ID.","Balance","Qual_miles","Bonus_miles","Bonus_trans","Flight_miles_12mo","Flight_trans_12","Days_since_enroll","Award.","cc1_miles","cc2_miles","cc3_miles"
"1",1,2212.88942307692,50475.784965035,143.976835664336,3913.67832167832,6.67701048951049,462.866695804196,1.38811188811189,3754.42613636364,0.248688811188811,1,1,1
"2",2,1664.78928247048,116321.427792916,162.227974568574,43138.4232515895,19.0971843778383,536.66485013624,1.62034514078111,4763.45594913715,0.571298819255223,4,1,1
"3",3,1903.67049180328,83234.7885245902,111.937704918033,19856.2950819672,16.5459016393443,311.239344262295,0.873770491803279,4320.37213114754,0.463934426229508,3,1,1
