"","Group.1","Balance","Bonus_miles","Bonus_trans","Flight_miles_12mo","Flight_trans_12","Days_since_enroll","Award.","km_A.cluster"
"1",1,87144.1848591549,7986.81338028169,9.49119718309859,1137.38028169014,3.47535211267606,4330.85387323944,1,5
"2",2,104895.906432749,34789.0771929825,18.2122807017544,457.594736842105,1.35730994152047,4606.82573099415,0.533918128654971,2.6906432748538
"3",3,38037.0784427658,2635.91400348635,5.73038930854155,238.956420685648,0.696106914584544,3563.34805345729,0,1
