"","Price","Age_08_04","KM","HP","cc","Doors","Gears","Quarterly_Tax","Weight"
"Price",1,-0.876590497143639,-0.569960164533719,0.314989829640035,0.126389197375893,0.185325549860503,0.0631038571353629,0.219196910731117,0.581197588642248
"Age_08_04",-0.876590497143639,1,0.505672180382109,-0.156622019828176,-0.0980837391321381,-0.148359214557985,-0.00536394749711969,-0.198430508282184,-0.470253183991047
"KM",-0.569960164533719,0.505672180382109,1,-0.333537947832001,0.102682890962552,-0.0361966140713816,0.0150233283072021,0.278164697052708,-0.0285984567246351
"HP",0.314989829640035,-0.156622019828176,-0.333537947832001,1,0.0358558027379187,0.0924244962795544,0.209477145921813,-0.298431717200256,0.0896140593779318
"cc",0.126389197375893,-0.0980837391321381,0.102682890962552,0.0358558027379187,1,0.0799032964519965,0.0146293520895972,0.306995798338785,0.335637399164347
"Doors",0.185325549860503,-0.148359214557985,-0.0361966140713816,0.0924244962795544,0.0799032964519965,1,-0.160141430486925,0.109363225021066,0.30261764368895
"Gears",0.0631038571353629,-0.00536394749711969,0.0150233283072021,0.209477145921813,0.0146293520895972,-0.160141430486925,1,-0.00545195542347721,0.0206132837989274
"Quarterly_Tax",0.219196910731117,-0.198430508282184,0.278164697052708,-0.298431717200256,0.306995798338785,0.109363225021066,-0.00545195542347721,1,0.626133732802163
"Weight",0.581197588642248,-0.470253183991047,-0.0285984567246351,0.0896140593779318,0.335637399164347,0.30261764368895,0.0206132837989274,0.626133732802163,1
