"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"308","Thank you @PMBhutan. I am confident that with the good wishes of friends like yourself, the capabilities and ‘can-d… https://t.co/p9OKo5sWaf",FALSE,39650,NA,2019-09-07 15:22:11,TRUE,NA,"1170356597048000512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","narendramodi",4761,FALSE,FALSE,NA,NA
"309","Dear friend @PresRajapaksa, on behalf of the people of India, especially our scientist community, not only do I hum… https://t.co/hEy9P5t8tg",FALSE,29697,NA,2019-09-07 15:20:48,TRUE,NA,"1170356247322710016",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","narendramodi",4099,FALSE,FALSE,NA,NA
"310","President @ibusolih, thank you for your kind words. They mean a lot! Our focus on innovation and using cutting edge… https://t.co/SeIO18VWOn",FALSE,20067,NA,2019-09-07 15:16:37,TRUE,NA,"1170355195018002432",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","narendramodi",2962,FALSE,FALSE,NA,NA
"311","Dear PM Jugnauth, thank you for your warm words. I reciprocate your sentiments on further strengthening cooperation… https://t.co/XgekzwgcP9",FALSE,36917,NA,2019-09-07 15:10:12,TRUE,NA,"1170353582417121280",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","narendramodi",4938,FALSE,FALSE,NA,NA
"312","Improving comfort and connectivity for Mumbai.  

Delighted to inaugurate a state-of-the-art metro coach, which is… https://t.co/rOvdARMLRU",FALSE,47422,NA,2019-09-07 13:13:06,TRUE,NA,"1170324113694416897",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","narendramodi",6171,FALSE,FALSE,NA,NA
"313","Ujjwala beneficiaries cross 8 crore mark!

Aurangabad will always be remembered as the land where our commitment to… https://t.co/KhR3RtJXcO",FALSE,15716,NA,2019-09-07 13:12:15,TRUE,NA,"1170323896433668097",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","narendramodi",2572,FALSE,FALSE,NA,NA
"314","Our Government is committed to improve:

Mobility.

Connectivity. 

Productivity. 

Sustainability. 

Safety. https://t.co/0i1rkHM5sz",FALSE,21635,NA,2019-09-07 13:09:42,FALSE,NA,"1170323254373797891",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","narendramodi",3595,FALSE,FALSE,NA,NA
"315","Enhancing ‘Ease of Living’ for the people of Mumbai. 

Work has begun on developmental projects worth over Rs. 20,0… https://t.co/qp2aHHzUbm",FALSE,11413,NA,2019-09-07 13:08:59,TRUE,NA,"1170323075683893248",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","narendramodi",1992,FALSE,FALSE,NA,NA
"316","This morning in Bengaluru I met the bright @vikramsampath. I am glad that he has devoted significant time and resea… https://t.co/CEbbnFVJ5u",FALSE,28853,NA,2019-09-07 13:06:42,TRUE,NA,"1170322503018807296",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","narendramodi",4390,FALSE,FALSE,NA,NA
"317","Addressing a Mahila Sammelan in Aurangabad. Watch. https://t.co/rkmofHdHZY",FALSE,15173,NA,2019-09-07 10:10:00,FALSE,NA,"1170278031971119106",NA,"<a href=""https://periscope.tv"" rel=""nofollow"">Periscope</a>","narendramodi",2675,FALSE,FALSE,NA,NA
"318","As important as the final result is the journey and the effort. 

Our effort and journey to the moon was worth it.… https://t.co/xxOVAScUQ5",FALSE,34375,NA,2019-09-07 08:56:35,TRUE,NA,"1170259557932777473",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","narendramodi",6031,FALSE,FALSE,NA,NA
"319","Dear scientists, 

You ventured where no one previously went. 

India is proud of each and every one of you. https://t.co/hv1WcRNNtC",FALSE,62572,NA,2019-09-07 08:55:54,FALSE,NA,"1170259386243125248",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","narendramodi",10941,FALSE,FALSE,NA,NA
"320","<U+0939><U+092E><U+0947><U+0902> <U+0938><U+092C><U+0915> <U+0932><U+0947><U+0928><U+093E> <U+0939><U+0948>, <U+0938><U+0940><U+0916><U+0928><U+093E> <U+0939><U+0948>, <U+0906><U+0917><U+0947> <U+0939><U+0940> <U+092C><U+0922><U+093C><U+0924><U+0947> <U+091C><U+093E><U+0928><U+093E> <U+0939><U+0948> <U+0914><U+0930> <U+0932><U+0915><U+094D><U+0937><U+094D><U+092F> <U+0915><U+0940> <U+092A><U+094D><U+0930><U+093E><U+092A><U+094D><U+0924><U+093F> <U+0924><U+0915> <U+0930><U+0941><U+0915><U+0928><U+093E> <U+0928><U+0939><U+0940><U+0902> <U+0939><U+0948><U+0964>
<U+0939><U+092E> <U+0928><U+093F><U+0936><U+094D><U+091A><U+093F><U+0924> <U+0930><U+0942><U+092A> <U+0938><U+0947> <U+0938><U+092B><U+0932> <U+0939><U+094B><U+0902>… https://t.co/1afNwIIH5T",FALSE,29245,NA,2019-09-07 08:55:12,TRUE,NA,"1170259210715766784",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","narendramodi",4808,FALSE,FALSE,NA,NA
"321","<U+091C><U+094D><U+091E><U+093E><U+0928> <U+0915><U+093E> <U+0905><U+0917><U+0930> <U+0938><U+092C><U+0938><U+0947> <U+092C><U+0921><U+093C><U+093E> <U+0936><U+093F><U+0915><U+094D><U+0937><U+0915> <U+0915><U+094B><U+0908> <U+0939><U+0948> <U+0924><U+094B> <U+0935><U+094B> <U+0935><U+093F><U+091C><U+094D><U+091E><U+093E><U+0928> <U+0939><U+0948><U+0964>

<U+0935><U+093F><U+091C><U+094D><U+091E><U+093E><U+0928> <U+092E><U+0947><U+0902> <U+0935><U+093F><U+092B><U+0932><U+0924><U+093E> <U+0928><U+0939><U+0940><U+0902> <U+0939><U+094B><U+0924><U+0940>, <U+0915><U+0947><U+0935><U+0932> <U+092A><U+094D><U+0930><U+092F><U+094B><U+0917> <U+0914><U+0930> <U+092A><U+094D><U+0930><U+092F><U+093E><U+0938> <U+0939><U+094B><U+0924><U+0947>… https://t.co/prQdbo36oj",FALSE,21702,NA,2019-09-07 08:54:13,TRUE,NA,"1170258963381870592",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","narendramodi",3861,FALSE,FALSE,NA,NA
"322","<U+091A><U+0902><U+0926><U+094D><U+0930><U+092F><U+093E><U+0928> <U+0915><U+0947> <U+0938><U+092B><U+0930> <U+0915><U+093E> <U+0906><U+0916><U+093F><U+0930><U+0940> <U+092A><U+0921><U+093C><U+093E><U+0935> <U+092D><U+0932><U+0947> <U+0939><U+0940> <U+0906><U+0936><U+093E> <U+0915><U+0947> <U+0905><U+0928><U+0941><U+0915><U+0942><U+0932> <U+0928><U+093E> <U+0930><U+0939><U+093E> <U+0939><U+094B>, <U+0932><U+0947><U+0915><U+093F><U+0928> <U+0939><U+092E><U+0947><U+0902> <U+092F><U+0947> <U+092D><U+0940> <U+092F><U+093E><U+0926> <U+0930><U+0916><U+0928><U+093E> <U+0939><U+094B><U+0917><U+093E> <U+0915><U+093F> <U+091A><U+0902><U+0926><U+094D><U+0930><U+092F><U+093E><U+0928> <U+0915><U+0940> <U+092F><U+093E><U+0924><U+094D><U+0930><U+093E>… https://t.co/DYkqjSrQyD",FALSE,76492,NA,2019-09-07 08:53:50,TRUE,NA,"1170258866036203525",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","narendramodi",10893,FALSE,FALSE,NA,NA
"323","<U+091A><U+0902><U+0926><U+094D><U+0930><U+092E><U+093E> <U+0915><U+094B> <U+091B><U+0942><U+0928><U+0947> <U+0915><U+0940> <U+0939><U+092E><U+093E><U+0930><U+0940> <U+0907><U+091A><U+094D><U+091B><U+093E><U+0936><U+0915><U+094D><U+0924><U+093F> <U+0914><U+0930> <U+0926><U+0943><U+0922><U+093C> <U+0939><U+0941><U+0908> <U+0939><U+0948>, <U+0938><U+0902><U+0915><U+0932><U+094D><U+092A> <U+0914><U+0930> <U+092A><U+094D><U+0930><U+092C><U+0932> <U+0939><U+0941><U+0906> <U+0939><U+0948><U+0964> https://t.co/Bz5C8cJUv7",FALSE,35918,NA,2019-09-07 08:53:27,FALSE,NA,"1170258769902747649",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","narendramodi",5523,FALSE,FALSE,NA,NA
